"id","Training.condition","Advert.1","Advert.2","Advert.3","Advert.4","election_reg","recall_num","recall_correct","name_correct","name_incorrect","CSC","BBA","SFI","CBB","FF","TPM","VFP","AT","useful_rank_1","useful_rank_2","useful_rank_3","useful_rank_4","useful_rank_5","useful_rank_6","useful_rank_6_TEXT","reg_know","EPE_1","EPE_2","EPE_3","EPE_4","general_confidence_1","general_confidence_2","general_confidence_3","general_confidence_4","general_confidence_5","general_confidence_6","general_confidence_7","general_confidence_8","general_confidence_9","democracy","political_interest","external_efficacy","internal_efficacy","SM_use","SM_frequency_1","partyID","age","gender","education","Ethnicity.simplified","EPE_mean","political_trust","political_mistrust","political_cynicism"
1,"0","0","1","0","1",3,"3","incorrect",2,0,"0","1","0","1","0","0","0","0",1,4,3,2,5,6,"","Not sure",3,4,4,4,3,3,2,3,5,5,6,6,6,2,2,1,1,"None, No time at all ","Once every couple of days	","Labour",62,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",3.75,2.66666666666667,4.33333333333333,6
2,"1","0","1","1","0",3,"Not sure","incorrect",1,0,"0","0","0","1","0","0","0","0",3,4,5,2,1,6,"","Not sure",1,3,3,4,2,3,3,4,5,6,6,6,6,1,4,1,2,"Less than 1/2 hour ","Once a day	","Green Party",54,"Male","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",2.75,2.66666666666667,5,6
3,"1","0","1","0","1",2,"Not sure","incorrect",2,0,"1","1","0","0","0","0","0","0",2,1,4,5,3,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",5,5,6,6,6,5,5,7,6,5,2,4,5,2,5,3,3,"1/2 hour to 1 hour ","2-5 times a day","Liberal Democrat",62,"Female","A-level, or equivalent","White",5.5,5.33333333333333,6,3.66666666666667
4,"1","1","0","0","1",3,"2","correct",3,0,"1","1","0","1","0","0","0","0",1,2,3,5,4,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",3,3,4,2,6,4,2,5,5,6,6,6,5,2,5,3,2,"Less than 1/2 hour ","2-5 times a day","Labour",59,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",3,4,5.33333333333333,5.66666666666667
5,"1","1","0","0","1",6,"0","incorrect",1,0,"0","0","0","1","0","0","0","0",3,4,1,2,5,6,"","Not sure",5,5,5,6,3,4,3,2,2,3,4,4,5,3,2,3,3,"Less than 1/2 hour ","Less than once a week","I do not identify with any political party",73,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",5.25,3.33333333333333,2.33333333333333,4.33333333333333
6,"0","0","1","0","1",4,"2","correct",2,0,"1","0","0","1","0","0","0","0",1,2,3,4,5,6,"","Not sure",3,3,3,4,4,3,3,2,2,4,5,5,6,2,2,2,2,"Less than 1/2 hour ","2-5 times a day","I do not identify with any political party",70,"Female","GCSE level, or equivalent","White",3.25,3.33333333333333,2.66666666666667,5.33333333333333
7,"1","1","0","1","0",3,"1","incorrect",2,0,"1","0","1","0","0","0","0","0",1,3,5,2,4,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",5,5,5,5,3,3,3,3,5,4,6,6,5,3,2,2,3,"Less than 1/2 hour ","Once a day	","Labour",25,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",5,3,4,5.66666666666667
8,"1","0","1","0","1",2,"Not sure","incorrect",4,0,"1","1","1","1","0","0","0","0",2,3,5,1,4,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",3,3,4,4,1,2,1,4,4,5,6,6,7,1,3,1,1,"Less than 1/2 hour ","More than five times a day	","Labour",53,"Female","A-level, or equivalent","White",3.5,1.33333333333333,4.33333333333333,6.33333333333333
9,"1","1","0","1","0",4,"2","correct",2,0,"1","0","0","1","0","0","0","0",5,2,1,6,4,3,"","All political advertising (whether on television, radio, in newspapers or the internet) is subject to the same rules set by the UK government",6,6,5,6,3,3,2,3,1,2,7,7,6,2,4,1,1,"1/2 hour to 1 hour ","2-5 times a day","Conservative",59,"Male","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",5.75,2.66666666666667,2,6.66666666666667
10,"1","0","1","1","0",4,"2","correct",1,0,"0","0","0","1","0","0","0","0",3,4,2,1,5,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",5,5,5,5,3,4,4,4,3,5,5,5,5,3,3,2,2,"Less than 1/2 hour ","Once a week	","Conservative",51,"Male","Postgraduate (e.g. M.Sc, Ph.D)","White",5,3.66666666666667,4,5
