"id","Advert.1","Advert.2","Advert.3","Advert.4","Training.condition","advert","version","PK_advert","credibility","informed","agree_value","recall_num","recall_correct","CSC","BBA","SFI","CBB","FF","TPM","VFP","AT","political_interest","reg_know","SM_use","SM_frequency_1","partyID","age","gender","education","Ethnicity.simplified","PK1_value","PK2_value","PK3_value","PK4_value","PG_value","informed2_value","informed3_value","informed4_value","trustworthy_value","accurate_value","believable_value","factual_value","PK","recall_name","useful_rank_1"
1,"0","1","0","1","0","advert.1","0",5,2.5,3.33333333333333,4,"3","incorrect","0","1","0","1","0","0","0","0",2,"Not sure","None, No time at all ","Once every couple of days	","Labour",62,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",5,6,5,5,6,3,3,4,2,3,3,2,5.25,"Breaking Barriers Alliance,Campaign for a better Britain",1
1,"0","1","0","1","0","advert.2","1",4.5,3.75,3.33333333333333,5,"3","incorrect","0","1","0","1","0","0","0","0",2,"Not sure","None, No time at all ","Once every couple of days	","Labour",62,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",5,6,4,6,6,4,3,3,3,5,5,2,5.25,"Breaking Barriers Alliance,Campaign for a better Britain",1
1,"0","1","0","1","0","advert.3","0",3,5.5,3,6,"3","incorrect","0","1","0","1","0","0","0","0",2,"Not sure","None, No time at all ","Once every couple of days	","Labour",62,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",3,5,3,6,4,3,3,3,4,6,6,6,4.25,"Breaking Barriers Alliance,Campaign for a better Britain",1
1,"0","1","0","1","0","advert.4","1",2,4.25,6,5,"3","incorrect","0","1","0","1","0","0","0","0",2,"Not sure","None, No time at all ","Once every couple of days	","Labour",62,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",2,5,2,4,6,6,6,6,4,5,5,3,3.25,"Breaking Barriers Alliance,Campaign for a better Britain",1
2,"0","1","1","0","1","advert.1","0",7,3.25,4,4,"Not sure","incorrect","0","0","0","1","0","0","0","0",4,"Not sure","Less than 1/2 hour ","Once a day	","Green Party",54,"Male","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",7,7,7,7,7,4,2,6,4,4,4,1,7,"Campaign for a better Britain",3
2,"0","1","1","0","1","advert.2","1",7,3.25,4.66666666666667,4,"Not sure","incorrect","0","0","0","1","0","0","0","0",4,"Not sure","Less than 1/2 hour ","Once a day	","Green Party",54,"Male","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",7,7,7,7,7,5,3,6,4,4,4,1,7,"Campaign for a better Britain",3
2,"0","1","1","0","1","advert.3","1",7,3.25,4,4,"Not sure","incorrect","0","0","0","1","0","0","0","0",4,"Not sure","Less than 1/2 hour ","Once a day	","Green Party",54,"Male","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",7,7,7,7,7,4,3,5,4,4,4,1,7,"Campaign for a better Britain",3
2,"0","1","1","0","1","advert.4","0",4,3.25,3.33333333333333,5,"Not sure","incorrect","0","0","0","1","0","0","0","0",4,"Not sure","Less than 1/2 hour ","Once a day	","Green Party",54,"Male","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",4,5,4,6,6,3,3,4,4,4,4,1,4.75,"Campaign for a better Britain",3
3,"0","1","0","1","1","advert.1","0",6,2.25,3.33333333333333,3,"Not sure","incorrect","1","1","0","0","0","0","0","0",5,"All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media","1/2 hour to 1 hour ","2-5 times a day","Liberal Democrat",62,"Female","A-level, or equivalent","White",6,6,6,4,6,2,6,2,2,3,3,1,5.5,"Common Sense Collective,Breaking Barriers Alliance",2
3,"0","1","0","1","1","advert.2","1",6,2.75,6,3,"Not sure","incorrect","1","1","0","0","0","0","0","0",5,"All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media","1/2 hour to 1 hour ","2-5 times a day","Liberal Democrat",62,"Female","A-level, or equivalent","White",6,7,6,6,6,6,6,6,3,4,3,1,6.25,"Common Sense Collective,Breaking Barriers Alliance",2
