"","id","Advert.1","Advert.2","Advert.3","Advert.4","Training.condition","advert","version","PK","informed","PG_value","agree_value","trustworthy_value","believable_value","accurate_value","factual_value","recall_num","recall_correct","CSC","BBA","SFI","CBB","FF","TPM","VFP","AT","political_interest","reg_know","SM_use","SM_frequency_1","partyID","age","gender","education","Ethnicity.simplified","PK1_value","PK2_value","PK3_value","PK4_value","informed2_value","informed3_value","informed4_value","recall_name","useful_rank_1"
"1",1,"0","1","0","1","0","advert.1","0",5.25,3.33333333333333,6,4,2,3,3,2,"3","incorrect","0","1","0","1","0","0","0","0",2,"Not sure","None, No time at all ","Once every couple of days	","Labour",62,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",5,6,5,5,3,3,4,"Breaking Barriers Alliance,Campaign for a better Britain",1
"2",1,"0","1","0","1","0","advert.2","1",5.25,3.33333333333333,6,5,3,5,5,2,"3","incorrect","0","1","0","1","0","0","0","0",2,"Not sure","None, No time at all ","Once every couple of days	","Labour",62,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",5,6,4,6,4,3,3,"Breaking Barriers Alliance,Campaign for a better Britain",1
"3",1,"0","1","0","1","0","advert.3","0",4.25,3,4,6,4,6,6,6,"3","incorrect","0","1","0","1","0","0","0","0",2,"Not sure","None, No time at all ","Once every couple of days	","Labour",62,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",3,5,3,6,3,3,3,"Breaking Barriers Alliance,Campaign for a better Britain",1
"4",1,"0","1","0","1","0","advert.4","1",3.25,6,6,5,4,5,5,3,"3","incorrect","0","1","0","1","0","0","0","0",2,"Not sure","None, No time at all ","Once every couple of days	","Labour",62,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",2,5,2,4,6,6,6,"Breaking Barriers Alliance,Campaign for a better Britain",1
"5",2,"0","1","1","0","1","advert.1","0",7,4,7,4,4,4,4,1,"Not sure","incorrect","0","0","0","1","0","0","0","0",4,"Not sure","Less than 1/2 hour ","Once a day	","Green Party",54,"Male","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",7,7,7,7,4,2,6,"Campaign for a better Britain",3
"6",2,"0","1","1","0","1","advert.2","1",7,4.66666666666667,7,4,4,4,4,1,"Not sure","incorrect","0","0","0","1","0","0","0","0",4,"Not sure","Less than 1/2 hour ","Once a day	","Green Party",54,"Male","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",7,7,7,7,5,3,6,"Campaign for a better Britain",3
"7",2,"0","1","1","0","1","advert.3","1",7,4,7,4,4,4,4,1,"Not sure","incorrect","0","0","0","1","0","0","0","0",4,"Not sure","Less than 1/2 hour ","Once a day	","Green Party",54,"Male","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",7,7,7,7,4,3,5,"Campaign for a better Britain",3
"8",2,"0","1","1","0","1","advert.4","0",4.75,3.33333333333333,6,5,4,4,4,1,"Not sure","incorrect","0","0","0","1","0","0","0","0",4,"Not sure","Less than 1/2 hour ","Once a day	","Green Party",54,"Male","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",4,5,4,6,3,3,4,"Campaign for a better Britain",3
"9",3,"0","1","0","1","1","advert.1","0",5.5,3.33333333333333,6,3,2,3,3,1,"Not sure","incorrect","1","1","0","0","0","0","0","0",5,"All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media","1/2 hour to 1 hour ","2-5 times a day","Liberal Democrat",62,"Female","A-level, or equivalent","White",6,6,6,4,2,6,2,"Common Sense Collective,Breaking Barriers Alliance",2
"10",3,"0","1","0","1","1","advert.2","1",6.25,6,6,3,3,3,4,1,"Not sure","incorrect","1","1","0","0","0","0","0","0",5,"All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media","1/2 hour to 1 hour ","2-5 times a day","Liberal Democrat",62,"Female","A-level, or equivalent","White",6,7,6,6,6,6,6,"Common Sense Collective,Breaking Barriers Alliance",2
"11",3,"0","1","0","1","1","advert.3","0",6.25,6,6,5,5,5,5,5,"Not sure","incorrect","1","1","0","0","0","0","0","0",5,"All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media","1/2 hour to 1 hour ","2-5 times a day","Liberal Democrat",62,"Female","A-level, or equivalent","White",6,7,6,6,6,6,6,"Common Sense Collective,Breaking Barriers Alliance",2
"12",3,"0","1","0","1","1","advert.4","1",5.25,6,6,4,4,4,4,2,"Not sure","incorrect","1","1","0","0","0","0","0","0",5,"All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media","1/2 hour to 1 hour ","2-5 times a day","Liberal Democrat",62,"Female","A-level, or equivalent","White",4,7,4,6,6,6,6,"Common Sense Collective,Breaking Barriers Alliance",2
"13",4,"1","0","0","1","1","advert.1","1",6,5.66666666666667,6,4,3,5,4,2,"2","correct","1","1","0","1","0","0","0","0",5,"All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media","Less than 1/2 hour ","2-5 times a day","Labour",59,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",6,7,5,6,6,5,6,"Common Sense Collective,Breaking Barriers Alliance,Campaign for a better Britain",1
"14",4,"1","0","0","1","1","advert.2","0",4.5,2,6,4,2,3,3,1,"2","correct","1","1","0","1","0","0","0","0",5,"All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media","Less than 1/2 hour ","2-5 times a day","Labour",59,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",3,6,4,5,2,2,2,"Common Sense Collective,Breaking Barriers Alliance,Campaign for a better Britain",1
"15",4,"1","0","0","1","1","advert.3","0",3.75,1,6,3,2,4,3,2,"2","correct","1","1","0","1","0","0","0","0",5,"All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media","Less than 1/2 hour ","2-5 times a day","Labour",59,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",2,6,3,4,1,1,1,"Common Sense Collective,Breaking Barriers Alliance,Campaign for a better Britain",1
"16",4,"1","0","0","1","1","advert.4","1",5,6,6,5,4,5,4,2,"2","correct","1","1","0","1","0","0","0","0",5,"All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media","Less than 1/2 hour ","2-5 times a day","Labour",59,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",5,6,4,5,6,6,6,"Common Sense Collective,Breaking Barriers Alliance,Campaign for a better Britain",1
"17",5,"1","0","0","1","1","advert.1","1",5.5,2.33333333333333,4,4,3,4,4,2,"0","incorrect","0","0","0","1","0","0","0","0",2,"Not sure","Less than 1/2 hour ","Less than once a week","I do not identify with any political party",73,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",6,5,5,6,2,3,2,"Campaign for a better Britain",3
"18",5,"1","0","0","1","1","advert.2","0",6.25,5,7,4,3,5,4,3,"0","incorrect","0","0","0","1","0","0","0","0",2,"Not sure","Less than 1/2 hour ","Less than once a week","I do not identify with any political party",73,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",6,7,5,7,5,4,6,"Campaign for a better Britain",3
"19",5,"1","0","0","1","1","advert.3","0",5.75,5.33333333333333,7,5,4,5,5,2,"0","incorrect","0","0","0","1","0","0","0","0",2,"Not sure","Less than 1/2 hour ","Less than once a week","I do not identify with any political party",73,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",5,6,5,7,6,4,6,"Campaign for a better Britain",3
"20",5,"1","0","0","1","1","advert.4","1",4,6,7,4,4,5,5,5,"0","incorrect","0","0","0","1","0","0","0","0",2,"Not sure","Less than 1/2 hour ","Less than once a week","I do not identify with any political party",73,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",2,6,2,6,6,6,6,"Campaign for a better Britain",3
"21",6,"0","1","0","1","0","advert.1","0",5,3,5,4,3,4,4,3,"2","correct","1","0","0","1","0","0","0","0",2,"Not sure","Less than 1/2 hour ","2-5 times a day","I do not identify with any political party",70,"Female","GCSE level, or equivalent","White",4,6,4,6,3,3,3,"Common Sense Collective,Campaign for a better Britain",1
"22",6,"0","1","0","1","0","advert.2","1",5.75,3.66666666666667,6,4,4,4,4,3,"2","correct","1","0","0","1","0","0","0","0",2,"Not sure","Less than 1/2 hour ","2-5 times a day","I do not identify with any political party",70,"Female","GCSE level, or equivalent","White",6,6,5,6,4,3,4,"Common Sense Collective,Campaign for a better Britain",1
"23",6,"0","1","0","1","0","advert.3","0",5,5,5,6,6,7,6,6,"2","correct","1","0","0","1","0","0","0","0",2,"Not sure","Less than 1/2 hour ","2-5 times a day","I do not identify with any political party",70,"Female","GCSE level, or equivalent","White",4,6,4,6,5,5,5,"Common Sense Collective,Campaign for a better Britain",1
"24",6,"0","1","0","1","0","advert.4","1",4,6,6,5,6,6,6,6,"2","correct","1","0","0","1","0","0","0","0",2,"Not sure","Less than 1/2 hour ","2-5 times a day","I do not identify with any political party",70,"Female","GCSE level, or equivalent","White",2,6,2,6,6,6,6,"Common Sense Collective,Campaign for a better Britain",1
"25",7,"1","0","1","0","1","advert.1","1",5.5,2.33333333333333,6,5,4,5,5,3,"1","incorrect","1","0","1","0","0","0","0","0",2,"All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media","Less than 1/2 hour ","Once a day	","Labour",25,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",5,6,5,6,2,2,3,"Common Sense Collective,Speak Freely Inc.",1
"26",7,"1","0","1","0","1","advert.2","0",3.75,2.33333333333333,5,5,2,5,4,2,"1","incorrect","1","0","1","0","0","0","0","0",2,"All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media","Less than 1/2 hour ","Once a day	","Labour",25,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",2,6,2,5,3,2,2,"Common Sense Collective,Speak Freely Inc.",1
"27",7,"1","0","1","0","1","advert.3","1",4.75,5,4,6,4,6,5,5,"1","incorrect","1","0","1","0","0","0","0","0",2,"All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media","Less than 1/2 hour ","Once a day	","Labour",25,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",5,4,5,5,5,5,5,"Common Sense Collective,Speak Freely Inc.",1
"28",7,"1","0","1","0","1","advert.4","0",2.5,2,3,4,2,3,2,1,"1","incorrect","1","0","1","0","0","0","0","0",2,"All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media","Less than 1/2 hour ","Once a day	","Labour",25,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",1,3,2,4,2,2,2,"Common Sense Collective,Speak Freely Inc.",1
"29",8,"0","1","0","1","1","advert.1","0",4.25,4.66666666666667,5,4,4,5,4,3,"Not sure","incorrect","1","1","1","1","0","0","0","0",3,"All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media","Less than 1/2 hour ","More than five times a day	","Labour",53,"Female","A-level, or equivalent","White",5,5,5,2,5,4,5,"Common Sense Collective,Breaking Barriers Alliance,Speak Freely Inc.,Campaign for a better Britain",2
"30",8,"0","1","0","1","1","advert.2","1",3.75,3.33333333333333,5,4,4,5,4,3,"Not sure","incorrect","1","1","1","1","0","0","0","0",3,"All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media","Less than 1/2 hour ","More than five times a day	","Labour",53,"Female","A-level, or equivalent","White",3,5,3,4,3,3,4,"Common Sense Collective,Breaking Barriers Alliance,Speak Freely Inc.,Campaign for a better Britain",2
"31",8,"0","1","0","1","1","advert.3","0",5,3.66666666666667,5,6,4,5,4,5,"Not sure","incorrect","1","1","1","1","0","0","0","0",3,"All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media","Less than 1/2 hour ","More than five times a day	","Labour",53,"Female","A-level, or equivalent","White",4,6,4,6,4,3,4,"Common Sense Collective,Breaking Barriers Alliance,Speak Freely Inc.,Campaign for a better Britain",2
"32",8,"0","1","0","1","1","advert.4","1",3.5,3.66666666666667,4,5,4,5,4,2,"Not sure","incorrect","1","1","1","1","0","0","0","0",3,"All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media","Less than 1/2 hour ","More than five times a day	","Labour",53,"Female","A-level, or equivalent","White",2,5,3,4,4,3,4,"Common Sense Collective,Breaking Barriers Alliance,Speak Freely Inc.,Campaign for a better Britain",2
"33",9,"1","0","1","0","1","advert.1","1",4.25,2.66666666666667,7,5,4,4,4,4,"2","correct","1","0","0","1","0","0","0","0",4,"All political advertising (whether on television, radio, in newspapers or the internet) is subject to the same rules set by the UK government","1/2 hour to 1 hour ","2-5 times a day","Conservative",59,"Male","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",2,7,1,7,3,3,2,"Common Sense Collective,Campaign for a better Britain",5
"34",9,"1","0","1","0","1","advert.2","0",4,2,7,1,1,2,2,7,"2","correct","1","0","0","1","0","0","0","0",4,"All political advertising (whether on television, radio, in newspapers or the internet) is subject to the same rules set by the UK government","1/2 hour to 1 hour ","2-5 times a day","Conservative",59,"Male","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",1,7,1,7,2,2,2,"Common Sense Collective,Campaign for a better Britain",5
"35",9,"1","0","1","0","1","advert.3","1",4,7,6,5,5,5,5,3,"2","correct","1","0","0","1","0","0","0","0",4,"All political advertising (whether on television, radio, in newspapers or the internet) is subject to the same rules set by the UK government","1/2 hour to 1 hour ","2-5 times a day","Conservative",59,"Male","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",1,7,1,7,7,7,7,"Common Sense Collective,Campaign for a better Britain",5
"36",9,"1","0","1","0","1","advert.4","0",3.75,4.33333333333333,7,5,5,5,5,5,"2","correct","1","0","0","1","0","0","0","0",4,"All political advertising (whether on television, radio, in newspapers or the internet) is subject to the same rules set by the UK government","1/2 hour to 1 hour ","2-5 times a day","Conservative",59,"Male","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",1,7,1,6,5,3,5,"Common Sense Collective,Campaign for a better Britain",5
"37",10,"0","1","1","0","1","advert.1","0",4.75,3.33333333333333,6,3,3,3,3,2,"2","correct","0","0","0","1","0","0","0","0",3,"All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media","Less than 1/2 hour ","Once a week	","Conservative",51,"Male","Postgraduate (e.g. M.Sc, Ph.D)","White",4,6,3,6,4,2,4,"Campaign for a better Britain",3
"38",10,"0","1","1","0","1","advert.2","1",4.5,4,6,3,2,2,2,2,"2","correct","0","0","0","1","0","0","0","0",3,"All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media","Less than 1/2 hour ","Once a week	","Conservative",51,"Male","Postgraduate (e.g. M.Sc, Ph.D)","White",3,6,3,6,4,3,5,"Campaign for a better Britain",3
"39",10,"0","1","1","0","1","advert.3","1",4,6,5,3,4,4,4,3,"2","correct","0","0","0","1","0","0","0","0",3,"All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media","Less than 1/2 hour ","Once a week	","Conservative",51,"Male","Postgraduate (e.g. M.Sc, Ph.D)","White",3,6,2,5,6,6,6,"Campaign for a better Britain",3
"40",10,"0","1","1","0","1","advert.4","0",3.75,3.33333333333333,4,3,4,3,4,3,"2","correct","0","0","0","1","0","0","0","0",3,"All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media","Less than 1/2 hour ","Once a week	","Conservative",51,"Male","Postgraduate (e.g. M.Sc, Ph.D)","White",2,5,3,5,4,3,3,"Campaign for a better Britain",3
"41",11,"0","1","1","0","1","advert.1","0",6.5,5.66666666666667,7,4,5,6,5,7,"2","correct","0","1","0","1","0","0","0","0",2,"There are no regulatory controls on any type of political advertising during UK elections","Less than 1/2 hour ","More than five times a day	","I do not identify with any political party",50,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",5,7,7,7,4,7,6,"Breaking Barriers Alliance,Campaign for a better Britain",4
"42",11,"0","1","1","0","1","advert.2","1",5.25,6.33333333333333,6,2,3,4,4,5,"2","correct","0","1","0","1","0","0","0","0",2,"There are no regulatory controls on any type of political advertising during UK elections","Less than 1/2 hour ","More than five times a day	","I do not identify with any political party",50,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",5,7,3,6,6,7,6,"Breaking Barriers Alliance,Campaign for a better Britain",4
"43",11,"0","1","1","0","1","advert.3","1",5.75,5.33333333333333,5,7,7,7,7,7,"2","correct","0","1","0","1","0","0","0","0",2,"There are no regulatory controls on any type of political advertising during UK elections","Less than 1/2 hour ","More than five times a day	","I do not identify with any political party",50,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",6,7,3,7,6,4,6,"Breaking Barriers Alliance,Campaign for a better Britain",4
