,StartDate,EndDate,Progress,Duration..in.seconds.,Finished,RecordedDate,DistributionChannel,UserLanguage,consent,Q98_First.Click,Q98_Last.Click,Q98_Page.Submit,Q98_Click.Count,PK_1_1,PK_1_2,PK_1_3,PK_1_4,agree_1,informed_1_1,informed_1_2,informed_1_3,informed_1_4,accurate_1,believable_1,trustworthy_1,factual_1,Q99_First.Click,Q99_Last.Click,Q99_Page.Submit,Q99_Click.Count,PK_1imprint_1,PK_1imprint_2,PK_1imprint_3,PK_1imprint_4,agree_1imprint,informed_1imprint_1,informed_1imprint_2,informed_1imprint_3,informed_1imprint_4,accurate_1imprint,believable_1imprint,trustworthy_1imprint,factual_1imprint,Q121_First.Click,Q121_Last.Click,Q121_Page.Submit,Q121_Click.Count,PK_2imprint_1,PK_2imprint_2,PK_2imprint_3,PK_2imprint_4,agree_2imprint,informed_2imprint_1,informed_2imprint_2,informed_2imprint_3,informed_2imprint_4,informed_2imprint_5,accurate_2imprint,believable_2imprint,trustworthy_2imprint,factual_2imprint,Q122_First.Click,Q122_Last.Click,Q122_Page.Submit,Q122_Click.Count,PK_2_1,PK_2_2,PK_2_3,PK_2_4,agree_2,informed_2_1,informed_2_2,informed_2_3,informed_2_4,informed_2_5,accurate_2,believable_2,trustworthy_2,factual_2,Q123_First.Click,Q123_Last.Click,Q123_Page.Submit,Q123_Click.Count,PK_3_1,PK_3_2,PK_3_3,PK_3_4,agree_3,informed_3_1,informed_3_2,informed_3_3,informed_3_4,accurate_3,believable_3,trustworthy_3,factual_3,Q124_First.Click,Q124_Last.Click,Q124_Page.Submit,Q124_Click.Count,PK_3imprint_1,PK_3imprint_2,PK_3imprint_3,PK_3imprint_4,agree_3imprint,informed_3imprint_1,informed_3imprint_2,informed_3imprint_3,informed_3imprint_4,accurate_3imprint,believable_3imprint,trustworthy_3imprint,factual_3imprint,Q125_First.Click,Q125_Last.Click,Q125_Page.Submit,Q125_Click.Count,PK_4imprint_1,PK_4imprint_2,PK_4imprint_3,PK_4imprint_4,agree_4imprint,informed_4imprint_1,informed_4imprint_2,informed_4imprint_3,informed_4imprint_4,accurate_4imprint,believable_4imprint,trustworthy_4imprint,factual_4imprint,Q126_First.Click,Q126_Last.Click,Q126_Page.Submit,Q126_Click.Count,PK_4_1,PK_4_2,PK_4_3,PK_4_4,agree_4,informed_4_1,informed_4_2,informed_4_3,informed_4_4,accurate_4,believable_4,trustworthy_4,factual_4,election_reg,recall_num,recall_name,useful_rank_1,useful_rank_2,useful_rank_3,useful_rank_4,useful_rank_5,useful_rank_6,useful_rank_6_TEXT,reg_know,EPE_1,EPE_2,EPE_3,EPE_4,EPE_5,open_q,partyID,partyID_12_TEXT,age,gender,education,education_6_TEXT,general_confidence_1,general_confidence_2,general_confidence_3,general_confidence_4,general_confidence_5,general_confidence_6,general_confidence_7,general_confidence_8,general_confidence_9,democracy,political_interest,external_efficacy,internal_efficacy,SM_use,SM_frequency_1,Training.condition,Advert.1,Advert.2,Advert.3,Advert.4,Time.taken,Fluent.languages,age_sample,sex_sample,Ethnicity.simplified,Country.of.birth,Country.of.residence,Nationality,Language,Student.status,Employment.status
1,27/03/2024 04:40,27/03/2024 04:48,100,476,TRUE,27/03/2024 04:48,anonymous,EN,I agree to the above statements and consent to participating in this study,21.989,21.989,21.994,1,Slightly agree,Agree,Slightly agree,Slightly agree,Neither agree nor disagree,Agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,3,3,2,2,NA,NA,NA,NA,,,,,,,,,,NA,NA,NA,NA,22.063,22.063,22.067,1,Slightly agree,Agree,Neither agree nor disagree,Agree,Somewhat agree,Agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly disagree,5,5,3,2,NA,NA,NA,NA,,,,,,,,,,,NA,NA,NA,NA,23.444,23.444,23.447,1,Slightly disagree,Slightly agree,Slightly disagree,Agree,Agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,6,6,4,6,NA,NA,NA,NA,,,,,,,,,,NA,NA,NA,NA,59.093,59.093,59.097,1,Disagree,Slightly agree,Disagree,Neither agree nor disagree,Somewhat agree,Agree,Agree,Disagree,Agree,5,5,4,3,NA,NA,NA,NA,,,,,,,,,,NA,NA,NA,NA,Slightly insufficient,3,"Breaking Barriers Alliance,Campaign for a better Britain",1,4,3,2,5,6,,Not sure,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,,Labour,,62,Female,"Undergraduate University (e.g. BA, B.Sc, B.Ed)",,Somewhat disagree,Somewhat disagree,Disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,A little dissatisfied,Not very interested,Not at all ,Not at all ,"None, No time at all ","Once every couple of days	",0,0,1,0,1,485,English,61,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
2,27/03/2024 04:55,27/03/2024 05:08,100,756,TRUE,27/03/2024 05:08,anonymous,EN,I agree to the above statements and consent to participating in this study,31.956,31.956,31.961,1,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Agree,Agree,4,4,4,1,NA,NA,NA,NA,,,,,,,,,,NA,NA,NA,NA,12.464,12.464,12.468,1,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Agree,Strongly disagree,4,4,4,1,NA,NA,NA,NA,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,NA,NA,NA,NA,8.462,8.462,8.465,1,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,4,4,4,1,NA,NA,NA,NA,,,,,,,,,,NA,NA,NA,NA,30.682,43.395,43.398,3,Neither agree nor disagree,Slightly agree,Neither agree nor disagree,Agree,Somewhat agree,Agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,4,4,4,1,Slightly insufficient,Not sure,Campaign for a better Britain,3,4,5,2,1,6,,Not sure,Strongly disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree,not sure,Green Party,,54,Male,"Undergraduate University (e.g. BA, B.Sc, B.Ed)",,Disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Agree,Agree,Agree,Agree,Very dissatisfied,Fairly interested,Not at all ,A little ,Less than 1/2 hour ,"Once a day	",1,0,1,1,0,771,English,53,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
3,29/03/2024 04:36,29/03/2024 04:47,100,620,TRUE,29/03/2024 04:47,anonymous,EN,I agree to the above statements and consent to participating in this study,7.434,61.936,61.951,8,Agree,Agree,Agree,Neither agree nor disagree,Somewhat disagree,Agree,Disagree,Disagree,Disagree,3,3,2,1,NA,NA,NA,NA,,,,,,,,,,NA,NA,NA,NA,17.474,24.625,24.636,3,Agree,Strongly agree,Agree,Agree,Somewhat disagree,Agree,Agree,Disagree,Agree,Strongly disagree,4,3,3,1,NA,NA,NA,NA,,,,,,,,,,,NA,NA,NA,NA,19.711,20.727,20.738,2,Agree,Strongly agree,Agree,Agree,Somewhat agree,Agree,Agree,Disagree,Agree,5,5,5,5,NA,NA,NA,NA,,,,,,,,,,NA,NA,NA,NA,5.959,14.069,14.076,4,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Disagree,Agree,4,4,4,2,NA,NA,NA,NA,,,,,,,,,,NA,NA,NA,NA,Mostly insufficient,Not sure,"Common Sense Collective,Breaking Barriers Alliance",2,1,4,5,3,6,,"All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",Somewhat agree,Somewhat agree,Agree,Agree,Strongly agree, Links to the opposition,Liberal Democrat,,62,Female,"A-level, or equivalent",,Agree,Somewhat agree,Somewhat agree,Strongly agree,Agree,Somewhat agree,Disagree,Neither agree nor disagree,Somewhat agree,A little dissatisfied,Very interested ,A moderate amount  ,A moderate amount  ,1/2 hour to 1 hour ,2-5 times a day,1,0,1,0,1,642,English,61,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
4,27/03/2024 05:00,27/03/2024 05:14,100,814,TRUE,27/03/2024 05:14,anonymous,EN,I agree to the above statements and consent to participating in this study,NA,NA,NA,NA,,,,,,,,,,NA,NA,NA,NA,28.837,28.837,28.842,1,Agree,Strongly agree,Slightly agree,Agree,Neither agree nor disagree,Agree,Agree,Somewhat disagree,Agree,4,5,3,2,NA,NA,NA,NA,,,,,,,,,,,NA,NA,NA,NA,51.295,51.295,51.298,1,Slightly disagree,Agree,Neither agree nor disagree,Slightly agree,Neither agree nor disagree,Agree,Disagree,Agree,Disagree,Strongly disagree,3,3,2,1,21.864,21.864,21.866,1,Disagree,Agree,Slightly disagree,Neither agree nor disagree,Somewhat disagree,Agree,Strongly disagree,Strongly agree,Strongly disagree,3,4,2,2,NA,NA,NA,NA,,,,,,,,,,NA,NA,NA,NA,49.668,49.668,49.67,1,Slightly agree,Agree,Neither agree nor disagree,Slightly agree,Somewhat agree,Agree,Agree,Disagree,Agree,4,5,4,2,NA,NA,NA,NA,,,,,,,,,,NA,NA,NA,NA,Slightly insufficient,2,"Common Sense Collective,Breaking Barriers Alliance,Campaign for a better Britain",1,2,3,5,4,6,,"All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Disagree,Strongly agree,,Labour,,59,Female,"Undergraduate University (e.g. BA, B.Sc, B.Ed)",,Agree,Neither agree nor disagree,Disagree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Somewhat agree,A little dissatisfied,Very interested ,A moderate amount  ,A little ,Less than 1/2 hour ,2-5 times a day,1,1,0,0,1,821,"English, French, German",58,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
5,27/03/2024 04:47,27/03/2024 05:01,100,828,TRUE,27/03/2024 05:01,anonymous,EN,I agree to the above statements and consent to participating in this study,NA,NA,NA,NA,,,,,,,,,,NA,NA,NA,NA,36.053,36.053,36.055,1,Agree,Slightly agree,Slightly agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Somewhat agree,Disagree,4,4,3,2,NA,NA,NA,NA,,,,,,,,,,,NA,NA,NA,NA,28.427,28.427,28.428,1,Agree,Strongly agree,Slightly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Agree,Strongly disagree,4,5,3,3,12.656,53.807,53.808,2,Slightly agree,Agree,Slightly agree,Strongly agree,Somewhat agree,Strongly agree,Agree,Neither agree nor disagree,Agree,5,5,4,2,NA,NA,NA,NA,,,,,,,,,,NA,NA,NA,NA,7.935,68.096,68.098,2,Disagree,Agree,Disagree,Agree,Neither agree nor disagree,Strongly agree,Agree,Disagree,Agree,5,5,4,5,NA,NA,NA,NA,,,,,,,,,,NA,NA,NA,NA,Mostly sufficient,0,Campaign for a better Britain,3,4,1,2,5,6,,Not sure,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Strongly agree,don't know,I do not identify with any political party,,73,Female,"Undergraduate University (e.g. BA, B.Sc, B.Ed)",,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Disagree,Disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Fairly satisfied,Not very interested,A moderate amount  ,A moderate amount  ,Less than 1/2 hour ,Less than once a week,1,1,0,0,1,835,English,72,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6,27/03/2024 04:42,27/03/2024 04:54,100,714,TRUE,27/03/2024 04:54,anonymous,EN,I agree to the above statements and consent to participating in this study,13.426,22.434,22.443,13,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,4,4,3,3,NA,NA,NA,NA,,,,,,,,,,NA,NA,NA,NA,19.274,32.344,32.35,15,Agree,Agree,Slightly agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,4,4,4,3,NA,NA,NA,NA,,,,,,,,,,,NA,NA,NA,NA,25.007,25.007,25.018,1,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,6,7,6,6,NA,NA,NA,NA,,,,,,,,,,NA,NA,NA,NA,2.999,66.274,66.283,25,Disagree,Agree,Disagree,Agree,Somewhat agree,Agree,Agree,Disagree,Agree,6,6,6,6,NA,NA,NA,NA,,,,,,,,,,NA,NA,NA,NA,No opinion/not sure,2,"Common Sense Collective,Campaign for a better Britain",1,2,3,4,5,6,,Not sure,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree,,I do not identify with any political party,,70,Female,"GCSE level, or equivalent",,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Disagree,Disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Agree,A little dissatisfied,Not very interested,A little ,A little ,Less than 1/2 hour ,2-5 times a day,0,0,1,0,1,724,English,69,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
7,27/03/2024 04:42,27/03/2024 04:50,100,519,TRUE,27/03/2024 04:50,anonymous,EN,I agree to the above statements and consent to participating in this study,NA,NA,NA,NA,,,,,,,,,,NA,NA,NA,NA,22.643,22.643,22.647,1,Slightly agree,Agree,Slightly agree,Agree,Somewhat agree,Agree,Disagree,Agree,Somewhat disagree,5,5,4,3,NA,NA,NA,NA,,,,,,,,,,,NA,NA,NA,NA,30.683,30.683,30.685,1,Disagree,Agree,Disagree,Slightly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Agree,Disagree,Strongly disagree,4,5,2,2,NA,NA,NA,NA,,,,,,,,,,NA,NA,NA,NA,22.075,22.075,22.077,1,Slightly agree,Neither agree nor disagree,Slightly agree,Slightly agree,Agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,5,6,4,5,NA,NA,NA,NA,,,,,,,,,,NA,NA,NA,NA,37.943,37.943,37.944,1,Strongly disagree,Slightly disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Disagree,Agree,Disagree,2,3,2,1,Slightly insufficient,1,"Common Sense Collective,Speak Freely Inc.",1,3,5,2,4,6,,"All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Actual statistics/numbers to support any arguments. ,Labour,,25,Female,"Undergraduate University (e.g. BA, B.Sc, B.Ed)",,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Agree,Agree,Somewhat agree,Fairly satisfied,Not very interested,A little ,A moderate amount  ,Less than 1/2 hour ,"Once a day	",1,1,0,1,0,532,English,24,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
8,27/03/2024 04:40,27/03/2024 04:53,100,795,TRUE,27/03/2024 04:53,anonymous,EN,I agree to the above statements and consent to participating in this study,14.092,14.092,14.096,1,Slightly agree,Slightly agree,Slightly agree, Disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,4,5,4,3,NA,NA,NA,NA,,,,,,,,,,NA,NA,NA,NA,36.852,36.852,36.857,1,Slightly disagree,Slightly agree,Slightly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,4,5,4,3,NA,NA,NA,NA,,,,,,,,,,,NA,NA,NA,NA,38.777,38.777,38.784,1,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,4,5,4,5,NA,NA,NA,NA,,,,,,,,,,NA,NA,NA,NA,92.401,92.401,92.406,1,Disagree,Slightly agree,Slightly disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,4,5,4,2,NA,NA,NA,NA,,,,,,,,,,NA,NA,NA,NA,Mostly insufficient,Not sure,"Common Sense Collective,Breaking Barriers Alliance,Speak Freely Inc.,Campaign for a better Britain",2,3,5,1,4,6,,"All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,the tag line of on behalf of and then the political party,Labour,,53,Female,"A-level, or equivalent",,Strongly disagree,Disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Agree,Agree,Strongly agree,Very dissatisfied,Slightly interested,Not at all ,Not at all ,Less than 1/2 hour ,"More than five times a day	",1,0,1,0,1,803,English,52,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
9,27/03/2024 04:16,27/03/2024 04:27,100,650,TRUE,27/03/2024 04:27,anonymous,EN,I agree to the above statements and consent to participating in this study,NA,NA,NA,NA,,,,,,,,,,NA,NA,NA,NA,21.186,21.186,21.188,1,Disagree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Disagree,4,4,4,4,NA,NA,NA,NA,,,,,,,,,,,NA,NA,NA,NA,19.833,19.833,19.835,1,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Disagree,Agree,Disagree,Strongly disagree,2,2,1,7,NA,NA,NA,NA,,,,,,,,,,NA,NA,NA,NA,6.703,29.381,29.384,2,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Agree,Strongly agree,Strongly disagree,Strongly agree,5,5,5,3,NA,NA,NA,NA,,,,,,,,,,NA,NA,NA,NA,63.858,63.858,63.861,1,Strongly disagree,Strongly agree,Strongly disagree,Agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,5,5,5,5,No opinion/not sure,2,"Common Sense Collective,Campaign for a better Britain",5,2,1,6,4,3,,"All political advertising (whether on television, radio, in newspapers or the internet) is subject to the same rules set by the UK government",Agree,Agree,Somewhat agree,Agree,Strongly agree,souces of facts,Conservative,,59,Male,"Undergraduate University (e.g. BA, B.Sc, B.Ed)",,Somewhat disagree,Somewhat disagree,Disagree,Somewhat disagree,Strongly disagree,Disagree,Strongly agree,Strongly agree,Agree,A little dissatisfied,Fairly interested,Not at all ,Not at all ,1/2 hour to 1 hour ,2-5 times a day,1,1,0,1,0,661,English,58,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
10,27/03/2024 05:04,27/03/2024 05:16,100,723,TRUE,27/03/2024 05:16,anonymous,EN,I agree to the above statements and consent to participating in this study,20.627,20.627,20.64,1,Neither agree nor disagree,Agree,Slightly disagree,Agree,Somewhat disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,3,3,3,2,NA,NA,NA,NA,,,,,,,,,,NA,NA,NA,NA,18.935,18.935,18.942,1,Slightly disagree,Agree,Slightly disagree,Agree,Somewhat disagree,Agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly disagree,2,2,2,2,NA,NA,NA,NA,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,NA,NA,NA,NA,10.757,10.757,10.763,1,Slightly disagree,Agree,Disagree,Slightly agree,Somewhat disagree,Somewhat agree,Agree,Disagree,Agree,4,4,4,3,NA,NA,NA,NA,,,,,,,,,,NA,NA,NA,NA,43.548,43.548,43.555,1,Disagree,Slightly agree,Slightly disagree,Slightly agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,4,3,4,3,No opinion/not sure,2,Campaign for a better Britain,3,4,2,1,5,6,,"All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,References and links to where the information was from.,Conservative,,51,Male,"Postgraduate (e.g. M.Sc, Ph.D)",,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Fairly satisfied,Slightly interested,A little ,A little ,Less than 1/2 hour ,"Once a week	",1,0,1,1,0,731,English,49,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
